Book-Title,no_of_ratings,avg_rating,Book-Author,Image-URL-M
Harry Potter and the Prisoner of Azkaban (Book 3),428,5.85,J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),387,5.82,J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),278,5.74,J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),347,5.5,J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),556,5.18,J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,281,5.01,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",368,4.95,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,4.9,J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",260,4.88,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg
To Kill a Mockingbird,510,4.7,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
The Da Vinci Code,898,4.64,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
The Five People You Meet in Heaven,430,4.55,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
The Catcher in the Rye,449,4.55,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,1295,4.47,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
1984,284,4.45,George Orwell,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg
Prodigal Summer: A Novel,253,4.45,Barbara Kingsolver,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg
Neverwhere,265,4.45,Neil Gaiman,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg
The Secret Life of Bees,774,4.45,Sue Monk Kidd,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,283,4.36,Michael Moore,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",493,4.35,MITCH ALBOM,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),723,4.33,Anita Diamant,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
The Hitchhiker's Guide to the Galaxy,268,4.33,Douglas Adams,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,335,4.29,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
Into the Wild,252,4.27,Jon Krakauer,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg
Fahrenheit 451,409,4.26,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
Girl with a Pearl Earring,526,4.22,Tracy Chevalier,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
Outlander,283,4.17,DIANA GABALDON,http://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),585,4.11,Billie Letts,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
Seabiscuit: An American Legend,275,4.1,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
Life of Pi,664,4.09,Yann Martel,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
The Bean Trees,389,4.09,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",265,4.09,Dave Pelzer,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg
ANGELA'S ASHES,279,4.08,Frank McCourt,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg
Good in Bed,490,4.06,Jennifer Weiner,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg
Fast Food Nation: The Dark Side of the All-American Meal,321,4.04,Eric Schlosser,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg
American Gods,302,4.01,Neil Gaiman,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg
Skipping Christmas,322,4.01,JOHN GRISHAM,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),318,4.0,Tim Lahaye,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",336,4.0,PHILIP PULLMAN,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
The Color Purple,314,3.96,Alice Walker,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg
Silence of the Lambs,256,3.96,Thomas Harris,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg
About a Boy,262,3.9,Nick Hornby,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg
Seven Up (A Stephanie Plum Novel),278,3.89,Janet Evanovich,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,266,3.88,Paulo Coelho,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),269,3.83,Janet Evanovich,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg
Suzanne's Diary for Nicholas,457,3.82,James Patterson,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg
Lord of the Flies,259,3.82,William Gerald Golding,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,413,3.8,John Irving,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",301,3.78,ANNE RICE,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg
White Oleander : A Novel (Oprah's Book Club),356,3.77,Janet Fitch,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg
